mockito-core-4.1.1-SNAPSHOT.jar -> java.base
mockito-core-4.1.1-SNAPSHOT.jar -> java.instrument
mockito-core-4.1.1-SNAPSHOT.jar -> not found
   org.mockito.AdditionalAnswers                      -> java.lang.Object                                   java.base
   org.mockito.AdditionalAnswers                      -> java.lang.Void                                     java.base
   org.mockito.AdditionalAnswers                      -> java.util.Collection                               java.base
   org.mockito.AdditionalAnswers                      -> org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.internal.stubbing.answers.AnswersWithDelay mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.internal.stubbing.answers.ReturnsArgumentAt mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.internal.stubbing.answers.ReturnsElementsOf mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.Answer                        mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.Answer1                       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.Answer2                       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.Answer3                       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.Answer4                       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.Answer5                       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.Answer6                       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.VoidAnswer1                   mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.VoidAnswer2                   mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.VoidAnswer3                   mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.AdditionalAnswers                      -> org.mockito.stubbing.VoidAnswer4                   mockito-core-4.1.1-SNAPSHOT.jar
